         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37952    0.370    0.000    0.748    0.000 ntpath.py:63(join)
       16    0.000    0.000    0.000    0.000 numeric.py:1574(isscalar)
      320    0.001    0.000    0.006    0.000 numeric.py:167(asarray)
    37952    1.669    0.000    1.764    0.000 porter.py:116(__init__)
        1    0.001    0.001    0.001    0.001 pyassem.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyassem.py:11(FlowGraph)
        1    0.000    0.000    0.000    0.000 pyassem.py:219(Block)
        1    0.000    0.000    0.000    0.000 pyassem.py:313(PyFlowGraph)
        1    0.000    0.000    0.000    0.000 pyassem.py:622(TupleArg)
        1    0.000    0.000    0.000    0.000 pyassem.py:646(LineAddrTable)
        1    0.000    0.000    0.000    0.000 pyassem.py:712(StackDepthTracker)
        1    0.004    0.004    0.006    0.006 pycodegen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pycodegen.py:106(Module)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1263(NestedScopeMixin)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1270(ModuleCodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1284(ExpressionCodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1298(InteractiveCodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1321(AbstractFunctionCode)
        1    0.000    0.000    0.000    0.000 pycodegen.py:133(LocalNameFinder)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1383(FunctionCodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1399(GenExprCodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1414(AbstractClassCode)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1436(ClassCodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1478(OpFinder)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1489(Delegator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1506(AugGetattr)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1509(AugName)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1512(AugSlice)
        1    0.000    0.000    0.000    0.000 pycodegen.py:1515(AugSubscript)
        1    0.000    0.000    0.000    0.000 pycodegen.py:182(CodeGenerator)
        1    0.000    0.000    0.000    0.000 pycodegen.py:67(AbstractCompileMode)
        1    0.000    0.000    0.000    0.000 pycodegen.py:88(Expression)
        1    0.000    0.000    0.000    0.000 pycodegen.py:97(Interactive)
151808/37952    0.976    0.000    4.038    0.000 re.py:144(sub)
    37952    0.283    0.000    0.871    0.000 re.py:169(findall)
    37952    0.160    0.000    0.426    0.000 re.py:188(compile)
   227712    1.111    0.000    1.644    0.000 re.py:229(_compile)
    37952    0.241    0.000    6.641    0.000 regexp.py:151(__init__)
    37952    0.446    0.000    6.400    0.000 regexp.py:33(__init__)
    37952    0.174    0.000    1.634    0.000 regexp.py:92(tokenize)
      224    0.001    0.000    0.001    0.000 rpc.py:149(debug)
       32    0.000    0.000    0.426    0.013 rpc.py:208(remotecall)
       32    0.001    0.000    0.009    0.000 rpc.py:218(asynccall)
       32    0.001    0.000    0.416    0.013 rpc.py:238(asyncreturn)
       32    0.000    0.000    0.000    0.000 rpc.py:244(decoderesponse)
       32    0.000    0.000    0.415    0.013 rpc.py:279(getresponse)
       32    0.000    0.000    0.000    0.000 rpc.py:287(_proxify)
       32    0.002    0.000    0.414    0.013 rpc.py:295(_getresponse)
       32    0.000    0.000    0.000    0.000 rpc.py:317(newseq)
       32    0.001    0.000    0.006    0.000 rpc.py:321(putmessage)
       32    0.000    0.000    0.001    0.000 rpc.py:548(__getattr__)
       32    0.000    0.000    0.000    0.000 rpc.py:591(__init__)
       32    0.000    0.000    0.426    0.013 rpc.py:596(__call__)
    37952    0.348    0.000   21.827    0.001 simple.py:114(line_tokenize)
    37952    0.111    0.000    0.111    0.000 simple.py:72(__init__)
    37952   11.042    0.000   21.368    0.001 simple.py:92(tokenize)
       16    0.000    0.000    0.000    0.000 sputils.py:111(issequence)
      176    0.003    0.000    0.004    0.000 sputils.py:116(_isinstance)
       16    0.000    0.000    0.000    0.000 sputils.py:124(isdense)
       32    0.001    0.000    0.004    0.000 sputils.py:18(upcast)
       80    0.001    0.000    0.001    0.000 sputils.py:50(to_native)
       48    0.000    0.000    0.000    0.000 sputils.py:54(getdtype)
       16    0.000    0.000    0.001    0.000 sputils.py:77(isscalarlike)
       16    0.000    0.000    0.000    0.000 sputils.py:81(isintlike)
       64    0.000    0.000    0.001    0.000 sputils.py:96(isshape)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
        1    0.000    0.000    0.000    0.000 symbols.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbols.py:13(Scope)
        1    0.000    0.000    0.000    0.000 symbols.py:171(ModuleScope)
        1    0.000    0.000    0.000    0.000 symbols.py:177(FunctionScope)
        1    0.000    0.000    0.000    0.000 symbols.py:180(GenExprScope)
        1    0.000    0.000    0.000    0.000 symbols.py:195(LambdaScope)
        1    0.000    0.000    0.000    0.000 symbols.py:205(ClassScope)
        1    0.000    0.000    0.000    0.000 symbols.py:211(SymbolVisitor)
        1    0.000    0.000    0.000    0.000 syntax.py:10(<module>)
        1    0.000    0.000    0.000    0.000 syntax.py:19(SyntaxErrorChecker)
       32    0.005    0.000    0.016    0.001 tfidfmodel.py:112(__getitem__)
       32    0.000    0.000    0.001    0.000 threading.py:101(__init__)
       32    0.000    0.000    0.001    0.000 threading.py:116(acquire)
       32    0.000    0.000    0.001    0.000 threading.py:136(release)
       32    0.000    0.000    0.001    0.000 threading.py:154(_acquire_restore)
       32    0.000    0.000    0.000    0.000 threading.py:162(_release_save)
       32    0.000    0.000    0.000    0.000 threading.py:172(_is_owned)
       32    0.000    0.000    0.002    0.000 threading.py:176(Condition)
       32    0.001    0.000    0.002    0.000 threading.py:181(__init__)
       32    0.001    0.000    0.411    0.013 threading.py:230(wait)
       64    0.000    0.000    0.000    0.000 threading.py:59(__init__)
      160    0.000    0.000    0.000    0.000 threading.py:64(_note)
       64    0.000    0.000    0.000    0.000 threading.py:808(currentThread)
       32    0.000    0.000    0.001    0.000 threading.py:96(RLock)
       48    0.017    0.000    0.038    0.001 transformer.py:104(__init__)
  2016/48    0.019    0.000    0.105    0.002 transformer.py:1071(com_binary)
       48    0.002    0.000    0.093    0.002 transformer.py:1196(com_dictmaker)
