         47362941 function calls in 230.911 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37616    0.863    0.000    3.173    0.000 sre_compile.py:367(_compile_info)
    37616    4.847    0.000    8.794    0.000 sre_compile.py:38(_compile)
    75232    0.359    0.000    0.501    0.000 sre_compile.py:480(isstring)
    37616    0.396    0.000   12.431    0.000 sre_compile.py:486(_code)
    37616    0.700    0.000   50.341    0.001 sre_compile.py:501(compile)
  1059088    4.249    0.000    6.317    0.000 sre_parse.py:144(append)
    37616    1.601    0.000    1.792    0.000 sre_parse.py:146(getwidth)
    37616    0.194    0.000    0.655    0.000 sre_parse.py:184(__init__)
  1171936    7.793    0.000   11.851    0.000 sre_parse.py:188(__next)
    37616    0.092    0.000    0.092    0.000 sre_parse.py:201(match)
  1134320    4.757    0.000   16.147    0.000 sre_parse.py:207(get)
   154004    1.267    0.000    2.021    0.000 sre_parse.py:263(_escape)
    37616    0.476    0.000   34.938    0.001 sre_parse.py:307(_parse_sub)
    37616    8.347    0.000   34.219    0.001 sre_parse.py:385(_parse)
    37616    0.614    0.000   36.704    0.001 sre_parse.py:669(parse)
    37616    0.115    0.000    0.115    0.000 sre_parse.py:73(__init__)
    37616    0.100    0.000    0.100    0.000 sre_parse.py:96(__init__)
    37616    0.191    0.000    0.191    0.000 {_sre.compile}
    37632   39.314    0.001   39.314    0.001 {built-in method findall}
   112848    0.232    0.000    0.232    0.000 {isinstance}
  2535565    4.632    0.000    4.632    0.000 {len}
  3441111    6.545    0.000    6.545    0.000 {method 'append' of 'list' objects}
      376    0.027    0.000    0.027    0.000 {method 'clear' of 'dict' objects}
        8    0.020    0.003    0.020    0.003 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
   270408    0.562    0.000    0.562    0.000 {method 'get' of 'dict' objects}
    37616    0.073    0.000    0.073    0.000 {method 'items' of 'dict' objects}
    37640    0.099    0.000    0.099    0.000 {method 'join' of 'str' objects}
    75264   75.303    0.001   75.303    0.001 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       12    0.001    0.000    0.001    0.000 {method 'write' of 'file' objects}
    75232    0.191    0.000    0.191    0.000 {min}
        8    0.001    0.000    0.001    0.000 {open}
   983856    1.814    0.000    1.814    0.000 {ord}
    37698    0.138    0.000    0.138    0.000 {range}


Finished wiki-wordMatch.csv
         11841640 function calls in 58.551 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   58.551   58.551 <string>:1(<module>)
        4    0.635    0.159   58.551   14.638 cyttron.py:171(wordMatch)
        1    0.000    0.000   58.551   58.551 cyttron.py:343(listWordMatch)
    37632    0.296    0.000   52.777    0.001 re.py:169(findall)
    37632    0.776    0.000    1.057    0.000 re.py:206(escape)
    37632    0.673    0.000   50.693    0.001 re.py:229(_compile)
    37618    0.831    0.000    3.070    0.000 sre_compile.py:367(_compile_info)
    37618    4.817    0.000    8.726    0.000 sre_compile.py:38(_compile)
    75236    0.324    0.000    0.466    0.000 sre_compile.py:480(isstring)
    37618    0.369    0.000   12.236    0.000 sre_compile.py:486(_code)
    37618    0.640    0.000   49.510    0.001 sre_compile.py:501(compile)
  1059126    4.256    0.000    6.273    0.000 sre_parse.py:144(append)
    37618    1.549    0.000    1.728    0.000 sre_parse.py:146(getwidth)
    37618    0.174    0.000    0.596    0.000 sre_parse.py:184(__init__)
  1171980    7.717    0.000   11.752    0.000 sre_parse.py:188(__next)
    37618    0.084    0.000    0.084    0.000 sre_parse.py:201(match)
  1134362    4.732    0.000   16.062    0.000 sre_parse.py:207(get)
   154010    1.228    0.000    1.970    0.000 sre_parse.py:263(_escape)
    37618    0.442    0.000   34.546    0.001 sre_parse.py:307(_parse_sub)
    37618    8.192    0.000   33.871    0.001 sre_parse.py:385(_parse)
    37618    0.539    0.000   36.156    0.001 sre_parse.py:669(parse)
    37618    0.096    0.000    0.096    0.000 sre_parse.py:73(__init__)
    37618    0.091    0.000    0.091    0.000 sre_parse.py:96(__init__)
    37618    0.177    0.000    0.177    0.000 {_sre.compile}
    37632    1.788    0.000    1.788    0.000 {built-in method findall}
   112854    0.228    0.000    0.228    0.000 {isinstance}
  2535653    4.594    0.000    4.594    0.000 {len}
  3440731    6.451    0.000    6.451    0.000 {method 'append' of 'list' objects}
      376    0.025    0.000    0.025    0.000 {method 'clear' of 'dict' objects}
        8    0.017    0.002    0.017    0.002 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
   270416    0.544    0.000    0.544    0.000 {method 'get' of 'dict' objects}
    37618    0.072    0.000    0.072    0.000 {method 'items' of 'dict' objects}
    37636    0.091    0.000    0.091    0.000 {method 'join' of 'str' objects}
    75264    3.994    0.000    3.994    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
    75236    0.179    0.000    0.179    0.000 {min}
        8    0.002    0.000    0.002    0.000 {open}
   983890    1.805    0.000    1.805    0.000 {ord}
    37647    0.121    0.000    0.121    0.000 {range}


Finished wiki-wordMatch-keyWords.csv
         12505728 function calls (12504762 primitive calls) in 112.353 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  112.353  112.353 <string>:1(<module>)
       13    0.000    0.000    0.005    0.000 api.py:184(open)
       13    0.000    0.000    0.000    0.000 api.py:198(encoding)
        1    0.000    0.000    0.000    0.000 api.py:41(__init__)
        4    0.716    0.179  103.929   25.982 cyttron.py:171(wordMatch)
        4    0.063    0.016  112.352   28.088 cyttron.py:224(wordNetWordMatch)
        1    0.000    0.000  112.353  112.353 cyttron.py:351(listWordNetMatch)
       15    0.000    0.000    0.003    0.000 data.py:147(__init__)
       13    0.000    0.000    0.001    0.000 data.py:164(open)
       13    0.000    0.000    0.004    0.000 data.py:173(join)
        1    0.000    0.000    0.000    0.000 data.py:180(__str__)
        1    0.000    0.000    0.005    0.005 data.py:370(find)
       16    0.000    0.000    0.001    0.000 genericpath.py:15(exists)
        7    0.000    0.000    0.002    0.000 genericpath.py:26(isfile)
        7    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
        4    0.000    0.000    0.042    0.011 internals.py:29(convert_regexp_to_nongrouping)
       12    0.000    0.000    0.005    0.000 internals.py:48(subfunc)
       30    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       15    0.001    0.000    0.001    0.000 ntpath.py:398(normpath)
       15    0.000    0.000    0.002    0.000 ntpath.py:466(abspath)
       15    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
       14    0.000    0.000    0.000    0.000 ntpath.py:63(join)
     5018    0.033    0.000    0.104    0.000 re.py:134(match)
     17/5    0.000    0.000    0.040    0.008 re.py:144(sub)
    37636    0.282    0.000   66.643    0.002 re.py:169(findall)
        4    0.000    0.000    0.005    0.001 re.py:188(compile)
    37632    0.875    0.000    1.167    0.000 re.py:206(escape)
    42675    0.740    0.000   50.900    0.001 re.py:229(_compile)
        1    0.000    0.000    0.000    0.000 re.py:251(_compile_repl)
        1    0.000    0.000    0.000    0.000 re.py:271(_subx)
        1    0.000    0.000    0.000    0.000 re.py:277(filter)
        4    0.000    0.000    0.047    0.012 regexp.py:151(__init__)
        4    0.000    0.000    0.047    0.012 regexp.py:33(__init__)
        4    0.000    0.000    0.001    0.000 regexp.py:92(tokenize)
       16    0.000    0.000    0.001    0.000 sre_compile.py:184(_compile_charset)
       16    0.001    0.000    0.001    0.000 sre_compile.py:213(_optimize_charset)
       40    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       38    0.000    0.000    0.001    0.000 sre_compile.py:360(_simple)
    37634    0.841    0.000    3.098    0.000 sre_compile.py:367(_compile_info)
37723/37634    4.805    0.000    8.726    0.000 sre_compile.py:38(_compile)
    75268    0.337    0.000    0.478    0.000 sre_compile.py:480(isstring)
    37634    0.381    0.000   12.273    0.000 sre_compile.py:486(_code)
    37634    0.666    0.000   49.624    0.001 sre_compile.py:501(compile)
      247    0.001    0.000    0.001    0.000 sre_parse.py:132(__len__)
      474    0.002    0.000    0.003    0.000 sre_parse.py:136(__getitem__)
       42    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
  1059201    4.225    0.000    6.267    0.000 sre_parse.py:144(append)
37761/37672    1.564    0.000    1.745    0.000 sre_parse.py:146(getwidth)
    37639    0.185    0.000    0.623    0.000 sre_parse.py:184(__init__)
  1173539    7.694    0.000   11.717    0.000 sre_parse.py:188(__next)
    37859    0.086    0.000    0.087    0.000 sre_parse.py:201(match)
  1135821    4.729    0.000   16.007    0.000 sre_parse.py:207(get)
        8    0.000    0.000    0.000    0.000 sre_parse.py:231(_class_escape)
   154073    1.230    0.000    1.976    0.000 sre_parse.py:263(_escape)
37655/37638    0.457    0.000   34.519    0.001 sre_parse.py:307(_parse_sub)
37688/37671    8.203    0.000   33.828    0.001 sre_parse.py:385(_parse)
37638/37634    0.575    0.000   36.202    0.001 sre_parse.py:669(parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:697(parse_template)
        6    0.000    0.000    0.000    0.000 sre_parse.py:704(literal)
    37638    0.105    0.000    0.105    0.000 sre_parse.py:73(__init__)
       17    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.000    0.000 sre_parse.py:784(expand_template)
       17    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
    37747    0.095    0.000    0.095    0.000 sre_parse.py:96(__init__)
        2    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        1    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
        1    0.000    0.000    6.042    6.042 util.py:42(__load)
        1    0.000    0.000    6.042    6.042 util.py:67(__getattr__)
2106/1939    0.760    0.000    1.168    0.001 wordnet.py:1000(_synset_from_pos_and_line)
      892    0.027    0.000    2.213    0.002 wordnet.py:1121(synsets)
     3568    0.034    0.000    0.154    0.000 wordnet.py:1305(_morphy)
     3637    0.054    0.000    0.102    0.000 wordnet.py:1316(apply_rules)
     3646    0.015    0.000    0.018    0.000 wordnet.py:1322(filter_forms)
      500    0.002    0.000    0.081    0.000 wordnet.py:140(similar_tos)
     5016    0.028    0.000    0.028    0.000 wordnet.py:206(__init__)
     2106    0.022    0.000    0.022    0.000 wordnet.py:302(__init__)
      500    0.003    0.000    0.079    0.000 wordnet.py:760(_related)
        1    0.000    0.000    6.035    6.035 wordnet.py:797(__init__)
